period,original_pick,random_pick,uniform_pick,neighbor_pick,frequency_pick,original_hits,random_hits,uniform_hits,neighbor_hits,frequency_hits
115017613,"[1, 31, 62]","[35, 60, 74]","[29, 54, 56]","[23, 37, 80]","[33, 59, 80]",1,0,0,2,1
115017614,"[4, 34, 59]","[2, 53, 61]","[35, 41, 60]","[31, 46, 65]","[33, 37, 59]",1,1,1,2,2
115017615,"[1, 18, 71]","[55, 71, 78]","[7, 29, 38]","[45, 52, 63]","[11, 33, 59]",0,1,0,2,0
115017616,"[16, 46, 79]","[30, 40, 55]","[1, 12, 70]","[37, 44, 47]","[33, 37, 59]",1,0,0,1,2
115017617,"[3, 13, 42]","[4, 50, 74]","[16, 44, 54]","[47, 56, 68]","[33, 37, 59]",1,1,1,0,0
115017618,"[6, 16, 57]","[6, 39, 52]","[36, 55, 62]","[28, 47, 74]","[8, 33, 37]",1,0,1,1,1
115017619,"[4, 59, 79]","[4, 16, 37]","[8, 30, 56]","[19, 36, 49]","[8, 37, 59]",1,0,0,1,1
115017620,"[1, 11, 42]","[33, 64, 67]","[21, 37, 77]","[59, 66, 72]","[37, 53, 59]",1,2,1,0,2
115017621,"[1, 20, 51]","[40, 62, 68]","[9, 21, 33]","[36, 57, 68]","[33, 37, 53]",1,1,1,0,2
115017622,"[5, 28, 58]","[30, 39, 41]","[29, 56, 72]","[2, 32, 71]","[33, 37, 53]",1,0,2,1,1
115017623,"[6, 59, 79]","[1, 25, 50]","[32, 37, 61]","[13, 16, 38]","[37, 62, 80]",1,0,2,2,1
115017624,"[6, 31, 61]","[6, 19, 21]","[1, 32, 68]","[3, 10, 78]","[33, 37, 62]",2,1,1,0,2
115017625,"[3, 53, 62]","[5, 10, 46]","[22, 31, 56]","[16, 60, 78]","[17, 37, 62]",1,1,0,2,1
115017626,"[8, 28, 61]","[21, 54, 73]","[21, 22, 35]","[1, 61, 62]","[37, 62, 72]",0,1,1,1,0
115017627,"[3, 32, 62]","[30, 36, 39]","[16, 61, 69]","[14, 44, 65]","[37, 62, 72]",0,1,0,2,0
115017628,"[31, 61, 74]","[40, 42, 69]","[2, 6, 36]","[29, 35, 71]","[6, 37, 62]",0,1,2,0,1
115017629,"[1, 62, 72]","[45, 47, 69]","[21, 51, 79]","[17, 22, 47]","[37, 46, 62]",3,0,1,0,1
115017630,"[1, 11, 42]","[5, 11, 14]","[6, 28, 40]","[30, 35, 51]","[37, 62, 72]",0,1,1,2,0
115017631,"[3, 42, 72]","[29, 30, 36]","[8, 73, 75]","[29, 73, 77]","[6, 37, 72]",1,2,0,1,1
115017632,"[1, 21, 50]","[58, 75, 77]","[17, 28, 67]","[16, 18, 28]","[6, 37, 72]",1,0,1,2,2
115017633,"[1, 11, 62]","[27, 29, 46]","[10, 13, 38]","[3, 29, 51]","[6, 37, 72]",0,0,1,0,1
115017634,"[6, 37, 77]","[7, 36, 56]","[32, 35, 44]","[33, 34, 35]","[6, 37, 72]",2,1,0,1,2
115017635,"[1, 11, 58]","[9, 39, 67]","[2, 26, 59]","[38, 46, 78]","[1, 37, 72]",1,0,1,1,1
115017636,"[4, 33, 53]","[17, 38, 42]","[61, 64, 67]","[49, 60, 74]","[1, 37, 72]",2,0,0,1,1
115017637,"[17, 37, 50]","[6, 26, 42]","[53, 59, 74]","[15, 16, 33]","[1, 37, 72]",0,1,3,1,1
115017638,"[1, 21, 62]","[61, 62, 75]","[8, 20, 74]","[23, 43, 62]","[1, 37, 72]",1,2,1,2,0
115017639,"[6, 16, 57]","[30, 68, 76]","[3, 32, 79]","[3, 16, 26]","[1, 33, 37]",1,2,0,2,0
115017640,"[4, 21, 71]","[6, 51, 70]","[26, 48, 68]","[1, 63, 65]","[1, 37, 72]",2,1,0,0,1
115017641,"[1, 11, 42]","[25, 26, 63]","[21, 43, 79]","[22, 72, 73]","[17, 37, 64]",2,0,2,0,1
115017642,"[1, 11, 50]","[24, 25, 26]","[3, 35, 42]","[12, 14, 80]","[1, 17, 64]",1,1,0,0,0
115017643,"[1, 11, 50]","[22, 54, 59]","[11, 14, 23]","[52, 56, 79]","[17, 37, 64]",0,2,1,1,2
115017644,"[1, 12, 72]","[17, 19, 29]","[3, 63, 75]","[17, 29, 56]","[17, 35, 64]",0,1,0,1,2
115017645,"[1, 12, 62]","[3, 41, 51]","[5, 41, 51]","[28, 54, 58]","[37, 64, 70]",0,1,1,1,1
