method,window,alpha,lambda,periods,triple_hit_rate,precision_at_3,recall_at_3,recent_periods,recent_triple_hit_rate,recent_precision_at_3,recent_recall_at_3
hot_only,100,0.98,0.5,6193,0.016147263038914905,0.25679530652887667,0.03851929597933151,300,0.01,0.24444444444444444,0.03666666666666666
hot_only,100,0.98,1.5,6193,0.016147263038914905,0.25679530652887667,0.03851929597933151,300,0.01,0.24444444444444444,0.03666666666666666
hot_only,50,0.98,0.5,6243,0.01553740189011693,0.2552725719472476,0.03829088579208714,300,0.013333333333333334,0.23888888888888885,0.035833333333333335
hot_only,50,0.98,1.5,6243,0.01553740189011693,0.2552725719472476,0.03829088579208714,300,0.013333333333333334,0.23888888888888885,0.035833333333333335
hot_only,50,0.95,0.5,6243,0.012974531475252283,0.25185541139409473,0.03777831170911421,300,0.01,0.23777777777777775,0.035666666666666666
hot_only,50,0.95,1.5,6243,0.012974531475252283,0.25185541139409473,0.03777831170911421,300,0.01,0.23777777777777775,0.035666666666666666
hot_only,100,0.95,0.5,6193,0.012594865170353626,0.25108994025512676,0.03766349103826901,300,0.01,0.2366666666666666,0.0355
hot_only,100,0.95,1.5,6193,0.012594865170353626,0.25108994025512676,0.03766349103826901,300,0.01,0.2366666666666666,0.0355
pair_aware,100,0.98,1.5,6193,0.014048118843855966,0.25604176758706065,0.0384062651380591,300,0.01,0.24444444444444444,0.03666666666666667
pair_aware,100,0.98,0.5,6193,0.013886646213466818,0.25679530652887667,0.03851929597933151,300,0.016666666666666666,0.23555555555555552,0.035333333333333335
pair_aware,50,0.98,0.5,6243,0.013294890277110364,0.252816487799669,0.037922473169950344,300,0.01,0.24333333333333335,0.0365
pair_aware,50,0.95,0.5,6243,0.012654172673394202,0.2515350525922366,0.037730257888835494,300,0.016666666666666666,0.24,0.036
pair_aware,100,0.95,0.5,6193,0.012594865170353626,0.25195112761720223,0.03779266914258034,300,0.016666666666666666,0.2422222222222222,0.03633333333333333
pair_aware,50,0.98,1.5,6243,0.01233381387153612,0.25404452987345827,0.03810667948101874,300,0.013333333333333334,0.25666666666666665,0.0385
pair_aware,100,0.95,1.5,6193,0.012271919909575327,0.25178965498681305,0.03776844824802195,300,0.02,0.24666666666666667,0.03699999999999999
pair_aware,50,0.95,1.5,6243,0.012013455069678039,0.2521223770623098,0.03781835655934647,300,0.02,0.25,0.03749999999999999
pair_only,50,0.98,0.5,6243,0.013775428479897486,0.2532436328688131,0.037986544930321955,300,0.023333333333333334,0.24888888888888885,0.03733333333333333
pair_only,50,0.98,1.5,6243,0.013775428479897486,0.2532436328688131,0.037986544930321955,300,0.023333333333333334,0.24888888888888885,0.03733333333333333
pair_only,100,0.98,0.5,6193,0.012917810431131924,0.2523278970881102,0.03784918456321653,300,0.013333333333333334,0.25,0.0375
pair_only,100,0.98,1.5,6193,0.012917810431131924,0.2523278970881102,0.03784918456321653,300,0.013333333333333334,0.25,0.0375
pair_only,50,0.95,0.5,6243,0.011532916866890917,0.2497730791820172,0.03746596187730258,300,0.02,0.23666666666666666,0.0355
pair_only,50,0.95,1.5,6243,0.011532916866890917,0.2497730791820172,0.03746596187730258,300,0.02,0.23666666666666666,0.0355
pair_only,100,0.95,0.5,6193,0.011141611496851283,0.2514667097260348,0.03772000645890522,300,0.02,0.24333333333333335,0.0365
pair_only,100,0.95,1.5,6193,0.011141611496851283,0.2514667097260348,0.03772000645890522,300,0.02,0.24333333333333335,0.0365
random,50,0.95,0.5,6243,0.011212558065032836,0.24646270489615038,0.036969405734422554,300,0.01,0.2422222222222222,0.03633333333333333
random,50,0.95,1.5,6243,0.011212558065032836,0.24646270489615038,0.036969405734422554,300,0.01,0.2422222222222222,0.03633333333333333
random,50,0.98,0.5,6243,0.011212558065032836,0.24646270489615038,0.036969405734422554,300,0.01,0.2422222222222222,0.03633333333333333
random,50,0.98,1.5,6243,0.011212558065032836,0.24646270489615038,0.036969405734422554,300,0.01,0.2422222222222222,0.03633333333333333
random,100,0.95,0.5,6193,0.010334248344905539,0.24640723397384143,0.036961085096076214,300,0.01,0.24666666666666667,0.037
random,100,0.95,1.5,6193,0.010334248344905539,0.24640723397384143,0.036961085096076214,300,0.01,0.24666666666666667,0.037
random,100,0.98,0.5,6193,0.010334248344905539,0.24640723397384143,0.036961085096076214,300,0.01,0.24666666666666667,0.037
random,100,0.98,1.5,6193,0.010334248344905539,0.24640723397384143,0.036961085096076214,300,0.01,0.24666666666666667,0.037
