issue,draw_time,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115000001,2026/01/01,4,5,12,14,20,21,25,29,31,36,47,48,52,56,60,62,63,67,68,79
115000002,2026/01/01,2,4,11,15,16,19,20,23,24,26,31,35,41,44,57,58,62,63,66,67
115000003,2026/01/01,5,7,8,11,15,16,20,23,24,28,33,35,36,48,53,69,72,75,76,79
115000004,2026/01/01,1,6,8,13,16,19,23,32,33,38,40,44,50,52,55,64,66,74,75,76
115000005,2026/01/01,3,7,12,17,22,23,24,25,32,37,47,51,52,59,62,64,67,69,75,77
115000006,2026/01/01,8,9,11,19,21,24,29,30,35,37,41,43,44,46,52,61,63,71,77,79
115000007,2026/01/01,5,16,18,20,27,29,32,35,36,41,44,49,54,56,61,63,64,71,79,80
115000008,2026/01/01,2,8,12,26,31,32,34,39,40,42,45,48,49,51,53,55,60,65,75,79
115000009,2026/01/01,4,7,9,10,15,29,30,31,35,36,48,50,54,58,65,66,68,69,71,80
115000010,2026/01/01,11,12,15,16,18,22,23,27,30,31,35,37,50,56,57,61,65,72,74,78
115000011,2026/01/01,1,5,7,9,10,19,25,28,31,36,39,43,45,46,55,60,67,68,75,76
115000012,2026/01/01,2,4,12,15,17,20,25,35,36,41,42,43,47,49,54,57,61,67,69,77
115000013,2026/01/01,7,13,15,19,22,30,32,38,39,43,47,50,52,58,59,60,67,77,79,80
115000014,2026/01/01,1,3,4,11,17,19,20,21,27,39,44,47,48,52,55,57,58,60,71,73
115000015,2026/01/01,3,6,9,10,14,18,24,25,27,28,30,37,45,51,52,53,58,60,62,70
115000016,2026/01/01,1,5,6,10,13,19,22,25,28,34,36,50,51,52,53,60,62,64,67,71
115000017,2026/01/01,3,4,5,6,8,15,19,20,24,27,28,32,43,47,48,54,59,63,78,79
115000018,2026/01/01,3,7,14,15,16,27,31,33,34,48,53,55,58,60,63,64,68,71,72,76
115000019,2026/01/01,1,2,4,12,14,15,21,22,30,32,36,45,52,55,66,72,73,74,75,80
115000020,2026/01/01,8,14,21,23,25,29,30,36,44,46,49,50,56,61,64,69,72,73,74,79
115000021,2026/01/01,1,4,5,7,9,10,12,13,18,25,27,31,32,39,42,47,51,69,70,76
115000022,2026/01/01,2,6,11,18,21,25,30,31,38,40,42,50,51,54,55,56,58,64,67,78
115000023,2026/01/01,1,3,5,15,23,25,26,29,34,35,37,39,43,45,51,56,61,75,77,78
115000024,2026/01/01,7,13,14,15,25,26,32,45,51,56,59,60,61,62,65,68,72,74,77,80
115000025,2026/01/01,8,23,28,30,31,32,38,42,46,48,51,53,55,58,59,64,68,72,76,80
115000026,2026/01/01,5,6,7,11,14,18,22,23,29,30,34,41,49,57,58,60,61,65,70,78
115000027,2026/01/01,9,11,13,32,33,40,41,45,48,49,50,55,58,59,63,69,72,74,78,80
115000028,2026/01/01,9,11,15,19,31,32,33,35,38,39,41,44,45,48,54,55,61,63,76,80
115000029,2026/01/01,3,6,19,21,26,29,31,33,37,42,44,49,51,55,57,63,64,68,72,78
115000030,2026/01/01,8,11,12,14,15,16,21,26,29,32,35,45,46,47,51,69,71,76,77,78
115000031,2026/01/01,1,3,12,13,22,26,30,34,35,36,38,40,44,45,51,52,59,74,75,79
115000032,2026/01/01,1,6,7,8,14,27,28,33,46,48,49,50,51,62,63,67,71,72,73,78
115000033,2026/01/01,1,5,7,9,18,19,25,26,29,40,43,44,48,65,67,69,70,71,75,79
115000034,2026/01/01,2,4,6,11,17,26,33,37,44,45,47,48,49,51,54,56,59,62,66,80
115000035,2026/01/01,1,3,7,11,18,19,26,27,42,43,46,50,51,60,68,70,74,75,78,80
115000036,2026/01/01,2,9,10,11,15,18,24,28,31,34,39,49,57,60,61,64,66,70,71,77
115000037,2026/01/01,1,5,6,14,15,17,37,41,44,49,51,58,61,62,63,64,65,67,69,72
115000038,2026/01/01,1,7,10,13,15,16,19,22,27,28,31,33,38,39,43,47,48,61,71,72
115000039,2026/01/01,7,15,17,20,22,26,30,34,35,36,38,39,40,46,60,68,71,72,74,75
115000040,2026/01/01,3,12,14,17,20,21,22,30,33,41,42,43,45,50,61,64,67,68,70,76
115000041,2026/01/01,4,5,8,12,17,19,25,34,35,39,40,46,47,50,52,53,59,65,66,70
115000042,2026/01/01,2,3,5,7,13,20,23,24,29,30,31,35,42,43,47,54,57,70,73,77
