number,score
1,4214.0
2,4271.0
3,4190.0
4,4302.0
5,4138.0
6,4241.0
7,4211.0
8,4200.0
9,4065.0
10,4174.0
11,4220.0
12,4111.0
13,4186.0
14,4350.0
15,4244.0
16,4274.0
17,4253.0
18,4151.0
19,4136.0
20,4212.0
21,4250.0
22,4237.0
23,4254.0
24,4220.0
25,4278.0
26,4160.0
27,4302.0
28,4227.0
29,4109.0
30,4220.0
31,4140.0
32,4249.0
33,4174.0
34,4209.0
35,4192.0
36,4275.0
37,4205.0
38,4120.0
39,4216.0
40,4195.0
41,4228.0
42,4310.0
43,4291.0
44,4336.0
45,4220.0
46,4309.0
47,4244.0
48,4292.0
49,4218.0
50,4212.0
51,4181.0
52,4262.0
53,4260.0
54,4147.0
55,4186.0
56,4105.0
57,4276.0
58,4185.0
59,4242.0
60,4212.0
61,4140.0
62,4255.0
63,4217.0
64,4149.0
65,4244.0
66,4245.0
67,4127.0
68,4320.0
69,4200.0
70,4265.0
71,4212.0
72,4309.0
73,4080.0
74,4276.0
75,4122.0
76,4174.0
77,4087.0
78,4117.0
79,4157.0
80,4193.0
