issue,draw_date,numbers,day_issue_index
114071096,2025-12-17,"[1, 4, 9, 12, 14, 17, 22, 23, 34, 38, 41, 42, 45, 48, 49, 58, 60, 68, 73, 74]",46
114071097,2025-12-17,"[1, 4, 7, 10, 16, 18, 29, 30, 31, 37, 43, 44, 51, 57, 58, 62, 65, 66, 70, 74]",47
114071098,2025-12-17,"[1, 5, 10, 14, 15, 18, 20, 23, 27, 31, 36, 42, 58, 61, 65, 71, 72, 76, 77, 79]",48
114071099,2025-12-17,"[2, 4, 10, 12, 15, 22, 23, 24, 27, 33, 49, 56, 60, 62, 64, 65, 68, 69, 76, 79]",49
114071100,2025-12-17,"[3, 8, 10, 11, 23, 29, 31, 37, 39, 41, 42, 44, 47, 51, 52, 56, 62, 65, 72, 80]",50
114071101,2025-12-17,"[1, 3, 4, 6, 8, 16, 19, 24, 29, 34, 40, 44, 50, 60, 64, 68, 69, 70, 78, 80]",51
114071102,2025-12-17,"[1, 6, 17, 23, 27, 30, 31, 33, 36, 40, 43, 50, 53, 57, 60, 63, 70, 74, 75, 78]",52
114071103,2025-12-17,"[9, 10, 25, 26, 30, 31, 34, 40, 46, 47, 50, 53, 56, 60, 62, 67, 74, 75, 77, 79]",53
114071104,2025-12-17,"[3, 5, 9, 10, 11, 14, 15, 18, 29, 31, 39, 41, 42, 43, 45, 51, 57, 60, 70, 73]",54
114071105,2025-12-17,"[5, 7, 8, 13, 28, 34, 35, 38, 39, 45, 48, 53, 55, 56, 63, 66, 71, 72, 73, 76]",55
114071106,2025-12-17,"[2, 8, 14, 16, 29, 31, 42, 44, 47, 51, 54, 57, 60, 61, 69, 72, 74, 76, 78, 80]",56
114071107,2025-12-17,"[6, 10, 11, 13, 17, 18, 24, 26, 30, 36, 39, 44, 49, 52, 59, 61, 69, 73, 79, 80]",57
114071108,2025-12-17,"[9, 10, 12, 14, 19, 24, 25, 28, 31, 33, 46, 51, 55, 60, 61, 63, 64, 68, 71, 79]",58
114071109,2025-12-17,"[4, 6, 9, 11, 18, 23, 24, 30, 32, 45, 48, 54, 60, 63, 65, 71, 75, 76, 78, 80]",59
114071110,2025-12-17,"[1, 3, 5, 14, 22, 23, 26, 28, 31, 36, 39, 42, 46, 47, 50, 52, 55, 65, 72, 77]",60
114071111,2025-12-17,"[1, 5, 8, 13, 14, 26, 31, 35, 42, 44, 47, 49, 57, 58, 60, 61, 64, 70, 71, 72]",61
114071112,2025-12-17,"[3, 5, 6, 7, 17, 22, 23, 36, 46, 49, 57, 58, 59, 60, 61, 69, 73, 76, 77, 80]",62
114071113,2025-12-17,"[2, 5, 7, 21, 32, 38, 40, 43, 44, 46, 50, 54, 55, 57, 69, 70, 71, 73, 75, 78]",63
114071114,2025-12-17,"[1, 5, 17, 19, 21, 28, 29, 33, 37, 49, 50, 54, 64, 66, 67, 68, 72, 74, 76, 78]",64
114071115,2025-12-17,"[3, 8, 15, 23, 24, 27, 29, 36, 44, 45, 50, 51, 53, 58, 60, 61, 71, 72, 78, 79]",65
114071116,2025-12-17,"[5, 6, 8, 10, 12, 13, 14, 16, 26, 30, 40, 46, 51, 58, 61, 66, 67, 74, 75, 80]",66
114071117,2025-12-17,"[4, 6, 7, 8, 9, 11, 19, 32, 33, 40, 44, 48, 50, 58, 62, 65, 70, 76, 77, 79]",67
114071118,2025-12-17,"[6, 13, 23, 25, 26, 28, 29, 30, 36, 42, 45, 48, 50, 53, 55, 59, 70, 71, 72, 80]",68
114071119,2025-12-17,"[1, 2, 24, 25, 26, 28, 29, 30, 37, 38, 41, 46, 47, 52, 53, 61, 64, 72, 77, 80]",69
114071120,2025-12-17,"[5, 6, 7, 8, 18, 24, 25, 27, 32, 37, 41, 44, 54, 55, 57, 65, 69, 70, 71, 77]",70
114071121,2025-12-17,"[12, 13, 14, 15, 16, 25, 26, 28, 30, 37, 38, 42, 48, 54, 55, 66, 68, 71, 74, 80]",71
114071122,2025-12-17,"[1, 2, 6, 8, 14, 20, 22, 33, 35, 43, 54, 55, 57, 58, 59, 68, 70, 73, 78, 79]",72
114071123,2025-12-17,"[5, 7, 9, 20, 21, 23, 31, 32, 33, 35, 36, 37, 40, 49, 56, 69, 76, 77, 78, 80]",73
114071124,2025-12-17,"[2, 14, 15, 19, 20, 23, 27, 33, 35, 36, 43, 47, 54, 58, 68, 69, 75, 76, 77, 79]",74
114071125,2025-12-17,"[6, 8, 13, 19, 21, 26, 31, 37, 39, 45, 52, 53, 55, 58, 61, 62, 67, 71, 76, 77]",75
114071126,2025-12-17,"[2, 7, 8, 17, 31, 35, 40, 43, 47, 48, 52, 55, 58, 63, 68, 71, 72, 74, 76, 80]",76
114071127,2025-12-17,"[2, 3, 12, 19, 21, 25, 28, 31, 40, 41, 47, 50, 53, 54, 56, 66, 67, 71, 74, 79]",77
114071128,2025-12-17,"[3, 8, 10, 16, 18, 21, 29, 34, 40, 41, 43, 46, 50, 54, 55, 58, 65, 67, 71, 76]",78
114071129,2025-12-17,"[2, 3, 7, 15, 17, 19, 20, 23, 29, 30, 38, 39, 40, 46, 50, 57, 60, 61, 72, 73]",79
114071130,2025-12-17,"[8, 13, 16, 21, 23, 24, 27, 29, 32, 34, 35, 38, 40, 44, 48, 58, 60, 66, 75, 77]",80
114071131,2025-12-17,"[5, 6, 10, 11, 24, 30, 37, 38, 41, 44, 56, 57, 62, 63, 65, 72, 74, 76, 77, 79]",81
114071132,2025-12-17,"[1, 2, 9, 10, 11, 15, 22, 27, 31, 33, 38, 48, 49, 51, 57, 60, 64, 70, 74, 77]",82
114071133,2025-12-17,"[1, 9, 20, 23, 29, 31, 33, 37, 38, 41, 45, 46, 48, 53, 59, 61, 65, 73, 75, 78]",83
114071134,2025-12-17,"[7, 8, 14, 18, 22, 24, 28, 30, 35, 38, 43, 49, 51, 52, 58, 59, 63, 69, 70, 72]",84
114071135,2025-12-17,"[4, 8, 10, 15, 18, 24, 26, 28, 29, 33, 39, 45, 46, 52, 55, 59, 62, 65, 68, 80]",85
114071136,2025-12-17,"[7, 9, 19, 24, 26, 29, 34, 36, 48, 49, 55, 56, 57, 59, 60, 63, 66, 70, 74, 78]",86
114071137,2025-12-17,"[1, 2, 4, 11, 12, 14, 23, 24, 30, 33, 34, 37, 41, 42, 56, 59, 64, 66, 70, 79]",87
114071138,2025-12-17,"[13, 14, 15, 16, 18, 37, 39, 40, 42, 43, 45, 46, 48, 56, 58, 59, 61, 64, 70, 80]",88
114071139,2025-12-17,"[1, 4, 5, 7, 16, 24, 25, 28, 32, 39, 49, 51, 53, 57, 59, 62, 65, 72, 73, 77]",89
114071140,2025-12-17,"[1, 4, 6, 11, 19, 22, 29, 30, 31, 32, 38, 39, 55, 57, 59, 61, 63, 67, 78, 79]",90
114071141,2025-12-17,"[2, 3, 5, 6, 7, 12, 16, 29, 30, 38, 41, 44, 48, 51, 63, 69, 71, 72, 74, 80]",91
114071142,2025-12-17,"[1, 7, 8, 11, 19, 22, 30, 36, 37, 43, 44, 48, 49, 51, 57, 60, 68, 69, 73, 80]",92
114071143,2025-12-17,"[2, 5, 6, 12, 16, 25, 26, 27, 32, 39, 41, 46, 50, 56, 60, 62, 63, 67, 78, 79]",93
114071144,2025-12-17,"[4, 6, 14, 20, 22, 24, 28, 31, 36, 41, 44, 47, 48, 49, 51, 53, 61, 76, 77, 78]",94
114071145,2025-12-17,"[2, 6, 10, 14, 15, 19, 23, 26, 28, 32, 40, 45, 49, 53, 54, 57, 58, 62, 71, 77]",95
114071146,2025-12-17,"[1, 3, 8, 9, 12, 13, 25, 34, 40, 41, 42, 45, 46, 49, 50, 62, 65, 67, 70, 74]",96
114071147,2025-12-17,"[2, 3, 20, 26, 31, 39, 44, 47, 50, 51, 53, 55, 56, 61, 63, 64, 68, 72, 76, 78]",97
114071148,2025-12-17,"[1, 2, 5, 7, 16, 17, 19, 29, 49, 53, 56, 57, 58, 63, 66, 68, 72, 74, 78, 80]",98
114071149,2025-12-17,"[8, 9, 19, 29, 41, 45, 46, 47, 48, 49, 53, 56, 58, 60, 61, 64, 65, 66, 73, 76]",99
114071150,2025-12-17,"[13, 17, 22, 24, 32, 34, 44, 45, 47, 52, 58, 59, 62, 64, 65, 68, 70, 71, 72, 76]",100
