scheme,board_id,size_class,mask_ratio,mask_idx,target_number,rank,top1,top3,top5,top10,active_module_count_mean,abstain_rate,no_informative_modules_rate,score_std,final_score_std
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,5,5,0,0,1,1,9.375,0.0,0.0,0.09201433001513368,0.09201433001513368
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,5,5,0,0,1,1,4.541666666666667,0.5532786885245902,0.0,0.06688192578365565,0.06688192578365565
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,5,5,0,0,1,1,2.1666666666666665,0.7868852459016393,0.0,0.0775774658577755,0.0775774658577755
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,5,7,0,0,0,1,1.75,0.8278688524590164,0.0,0.07460759298209,0.07460759298209
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,5,6,0,0,0,1,9.375,0.0,0.0,0.07896807421537919,0.07896807421537919
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,5,5,0,0,1,1,9.458333333333334,0.0,0.0,0.09201433001513369,0.09201433001513369
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,15,6,0,0,0,1,9.333333333333334,0.0,0.0,0.08579721939432729,0.08579721939432729
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,15,6,0,0,0,1,4.625,0.5432098765432098,0.0,0.06431516671408621,0.06431516671408621
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,15,12,0,0,0,0,2.25,0.7777777777777778,0.0,0.07586068977316042,0.07586068977316042
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,15,10,0,0,0,1,1.8333333333333333,0.8189300411522634,0.0,0.08289108793488476,0.08289108793488476
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,15,6,0,0,0,1,9.333333333333334,0.0,0.0,0.09316317737718174,0.09316317737718174
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,15,6,0,0,0,1,9.458333333333334,0.0,0.0,0.08579721939432729,0.08579721939432729
