block_id,start_issue,end_issue,original_top3_total_hits_10,baseline_top3_total_hits_10,original_at_least_one_hit_count_10,baseline_at_least_one_hit_count_10,hit_diff_10,winner
1,115017603,115017612,6.0,6.0,6.0,6.0,0.0,tie
2,115017613,115017622,8.0,7.0,6.0,6.0,1.0,original
3,115017623,115017632,9.0,8.0,8.0,5.0,1.0,original
4,115017633,115017642,10.0,11.0,6.0,8.0,-1.0,baseline
5,115017643,115017652,9.0,7.0,6.0,5.0,2.0,original
6,115017653,115017662,12.0,5.0,8.0,4.0,7.0,original
7,115017663,115017672,5.0,8.0,4.0,6.0,-3.0,baseline
8,115017673,115017682,5.0,7.0,3.0,6.0,-2.0,baseline
9,115017683,115017692,11.0,9.0,9.0,7.0,2.0,original
10,115017693,115017702,8.0,8.0,6.0,6.0,0.0,tie
11,115017703,115017712,5.0,4.0,5.0,4.0,1.0,original
12,115017713,115017722,10.0,3.0,8.0,3.0,7.0,original
13,115017723,115017732,10.0,7.0,8.0,5.0,3.0,original
