variant,size_class,board_id,target_row,target_col,target_number,rank,top1_hit,top3_hit,top5_hit,top10_hit,spatial_applied,spatial_affected_count,spatial_total_penalty,topk_max_cluster_size,topk_adjacent_pair_rate
baseline,4x4,4x4_0,1,2,2,1,1,1,1,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,1,3,6,3,0,1,1,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,4,4,9,7,0,0,0,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,1,4,11,8,0,0,0,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,3,2,3,8,0,0,0,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,2,1,5,5,0,0,1,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,2,2,14,7,0,0,0,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_0,1,1,10,2,0,1,1,1,0,0,0.0,7.0,0.39285714285714285
baseline,4x4,4x4_1,1,1,4,3,0,1,1,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,3,1,14,7,0,0,0,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,4,3,7,5,0,0,1,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,2,1,6,4,0,0,1,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,1,2,9,5,0,0,1,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,1,4,11,8,0,0,0,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,4,1,16,4,0,0,1,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x4,4x4_1,4,4,13,2,0,1,1,1,0,0,0.0,5.0,0.21428571428571427
baseline,4x5,4x5_0,4,1,8,7,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,1,2,17,2,0,1,1,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,3,2,10,7,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,2,4,4,6,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,2,1,6,6,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,1,5,1,8,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,3,5,14,9,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,4,2,3,2,0,1,1,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,2,5,2,1,1,1,1,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_0,3,3,16,7,0,0,0,1,0,0,0.0,10.0,0.28888888888888886
baseline,4x5,4x5_1,2,3,6,5,0,0,1,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,1,2,11,2,0,1,1,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,2,5,13,4,0,0,1,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,4,1,8,8,0,0,0,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,4,3,14,4,0,0,1,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,1,1,1,4,0,0,1,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,3,2,9,7,0,0,0,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,2,2,17,7,0,0,0,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,4,4,7,2,0,1,1,1,0,0,0.0,9.0,0.28888888888888886
baseline,4x5,4x5_1,1,3,19,9,0,0,0,1,0,0,0.0,9.0,0.28888888888888886
baseline,5x5,5x5_0,5,2,12,10,0,0,0,1,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,2,2,20,11,0,0,0,0,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,4,3,24,7,0,0,0,1,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,3,3,10,12,0,0,0,0,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,2,3,3,3,0,1,1,1,0,0,0.0,9.0,0.4
baseline,5x5,5x5_0,3,2,19,3,0,1,1,1,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,1,3,21,4,0,0,1,1,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,5,3,4,11,0,0,0,0,0,0,0.0,9.0,0.4
baseline,5x5,5x5_0,1,2,22,1,1,1,1,1,0,0,0.0,9.0,0.35555555555555557
baseline,5x5,5x5_0,4,2,9,2,0,1,1,1,0,0,0.0,10.0,0.4
baseline,5x5,5x5_0,3,5,2,10,0,0,0,1,0,0,0.0,9.0,0.4
baseline,5x5,5x5_0,1,1,17,12,0,0,0,0,0,0,0.0,9.0,0.35555555555555557
