issue,origin_hit,random_hit,uniform_hit,neighbor_hit,frequency_hit
115017603,1,1,2,1,1
115017604,1,1,2,1,2
115017605,1,0,0,1,0
115017606,0,0,2,1,1
115017607,0,0,1,1,1
115017608,1,1,0,1,0
115017609,0,0,1,0,0
115017610,0,1,0,1,1
115017611,1,1,2,1,0
115017612,1,1,0,0,0
115017613,2,1,1,0,2
115017614,1,0,2,1,0
115017615,1,1,1,1,1
115017616,0,1,0,1,1
115017617,0,0,1,1,0
115017618,0,0,0,3,2
115017619,0,2,1,0,0
115017620,1,1,1,0,3
115017621,1,1,0,0,1
115017622,2,0,0,1,1
115017623,1,3,1,0,1
115017624,1,0,1,0,2
115017625,1,0,3,0,1
115017626,0,1,1,0,0
115017627,1,0,1,0,0
115017628,1,1,1,1,0
115017629,1,2,0,2,1
115017630,0,0,0,1,0
115017631,1,0,1,1,1
115017632,2,1,2,1,0
115017633,0,2,0,0,1
115017634,2,0,1,1,1
115017635,1,2,0,1,0
115017636,2,2,2,1,1
115017637,0,1,2,1,0
115017638,0,1,1,1,1
115017639,0,0,2,2,0
115017640,2,1,0,0,2
115017641,2,1,1,0,0
115017642,1,1,1,1,1
115017643,0,1,0,1,1
115017644,0,0,0,1,2
115017645,1,0,1,1,0
115017646,1,0,1,1,0
115017647,1,0,1,2,1
115017648,0,0,1,0,0
115017649,2,2,0,1,0
115017650,0,1,0,0,1
115017651,3,1,0,3,0
115017652,1,2,0,0,0
115017653,1,0,0,1,1
115017654,0,0,0,1,1
115017655,1,1,0,1,0
115017656,2,0,0,0,0
115017657,1,1,1,1,0
115017658,0,2,1,1,0
115017659,2,1,0,1,1
115017660,1,0,1,0,1
115017661,2,0,2,1,0
115017662,2,0,1,1,2
115017663,0,0,2,2,0
115017664,0,1,0,1,2
115017665,1,0,0,1,2
115017666,1,0,1,1,1
115017667,0,1,1,2,0
115017668,1,2,0,0,1
115017669,2,2,0,2,1
115017670,0,1,1,1,1
115017671,0,1,2,0,1
115017672,0,0,1,0,1
115017673,1,1,0,0,1
115017674,0,0,0,1,0
115017675,2,0,1,1,2
115017676,0,1,1,2,0
115017677,0,1,2,0,1
115017678,0,0,1,0,0
115017679,2,1,1,1,0
115017680,0,2,0,0,1
115017681,0,1,1,0,1
115017682,0,0,0,1,1
115017683,2,1,1,1,1
115017684,1,2,3,2,0
115017685,1,0,1,1,0
115017686,0,1,1,1,2
115017687,1,1,0,0,1
115017688,1,0,0,0,2
115017689,1,1,2,1,1
115017690,1,0,1,0,1
115017691,1,1,1,0,0
115017692,2,2,1,1,1
115017693,0,1,2,1,0
115017694,1,1,1,0,0
115017695,1,0,1,0,1
115017696,0,2,1,2,0
115017697,2,0,1,2,0
115017698,1,1,2,1,0
115017699,2,0,2,0,1
115017700,0,2,0,0,1
115017701,1,0,0,1,1
115017702,0,1,1,0,1
115017703,1,1,1,1,0
115017704,0,1,1,3,0
115017705,0,1,0,1,0
115017706,0,0,0,0,1
115017707,1,0,0,1,2
115017708,0,0,1,1,1
115017709,1,0,2,0,0
115017710,1,0,1,0,1
115017711,0,0,0,1,0
115017712,1,1,0,2,0
115017713,1,0,1,1,1
115017714,2,0,1,2,1
115017715,1,1,1,0,1
115017716,1,0,1,0,2
115017717,1,0,0,0,1
115017718,0,0,1,1,0
115017719,0,1,1,0,0
115017720,2,0,1,0,0
115017721,1,0,0,0,0
115017722,1,1,1,2,0
115017723,0,1,1,0,0
115017724,1,0,0,0,1
115017725,2,0,0,0,2
115017726,0,2,2,1,1
115017727,1,0,1,0,0
115017728,1,0,2,0,0
115017729,1,1,0,2,0
115017730,1,0,0,1,0
115017731,1,2,2,1,1
115017732,2,1,0,0,2
