board_id,source,repeat,rows,cols,target_number,true_row,true_col,rank,score,confidence_1_to_100,top1_hit,top3_hit,top5_hit,top10_hit,zone_type
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,50,7,2,19,0.179608,1.0,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,79,4,4,19,0.168059,1.0,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,62,2,5,13,0.24529,4.22,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,4,4,3,5,0.275097,10.87,0,0,1,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,57,3,1,15,0.242658,3.35,0,0,0,0,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,16,9,1,11,0.25354,3.45,0,0,0,0,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,18,4,2,9,0.272108,6.01,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,38,6,1,16,0.254324,4.11,0,0,0,0,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,8,5,2,6,0.28289,9.93,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,36,2,7,19,0.174049,1.0,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,41,2,8,9,0.294128,6.19,0,0,0,1,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,29,3,8,14,0.262191,3.53,0,0,0,0,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,80,2,4,10,0.234981,4.17,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,10,4,6,4,0.286679,10.23,0,0,1,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,9,8,2,10,0.253041,4.65,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,32,6,7,14,0.271944,3.85,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,12,9,6,18,0.199147,1.24,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,44,5,3,4,0.311462,12.88,0,0,1,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,73,10,1,16,0.219133,2.21,0,0,0,0,corner
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,45,9,3,8,0.303904,9.18,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,7,6,1,13,0.252983,2.78,0,0,0,0,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,34,4,5,15,0.239814,2.3,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,51,1,4,7,0.308955,8.53,0,0,0,1,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,57,3,2,1,0.329014,17.74,1,1,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,31,1,5,4,0.343095,12.26,0,0,1,1,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,29,10,4,6,0.32327,9.19,0,0,0,1,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,38,7,6,13,0.262827,3.64,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,62,4,6,5,0.285122,11.82,0,0,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,43,2,7,17,0.212555,1.31,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,52,7,4,3,0.339811,15.16,0,1,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,37,5,4,17,0.209728,1.53,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,12,9,8,17,0.224681,1.0,0,0,0,0,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,30,9,2,6,0.327846,10.92,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,3,5,2,7,0.281052,3.2,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,44,4,3,13,0.260872,4.65,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,48,4,4,20,0.159368,1.0,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,73,2,4,13,0.205563,2.09,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,21,4,2,1,0.415811,36.04,1,1,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,54,3,6,18,0.180016,1.18,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,74,6,3,15,0.182516,1.54,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,8,9,7,11,0.287493,1.84,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,69,10,8,5,0.298135,10.8,0,0,1,1,corner
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,9,9,1,3,0.327334,12.28,0,1,1,1,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,77,4,3,13,0.241925,2.74,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,24,5,8,16,0.298024,1.3,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,27,1,6,1,0.364949,15.83,1,1,1,1,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,55,5,4,20,0.144097,1.0,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,35,10,3,14,0.257349,5.6,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,60,10,5,4,0.316186,11.85,0,0,1,1,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,19,2,6,5,0.335251,7.13,0,0,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,30,9,6,18,0.295943,1.03,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,38,6,4,2,0.333809,15.96,0,1,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,28,8,8,20,0.26027,1.0,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,64,6,3,18,0.185036,1.28,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,39,3,5,13,0.27833,5.63,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,15,5,7,7,0.315074,3.62,0,0,0,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,40,3,7,5,0.306426,10.47,0,0,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,59,8,7,1,0.339667,22.28,1,1,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,21,10,6,12,0.302203,1.42,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,5,9,5,9,0.291849,2.66,0,0,0,1,center
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,4,1,4,1,0.540652,44.01,1,1,1,1,corner
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,15,4,3,1,0.620063,69.44,1,1,1,1,edge
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,6,2,2,1,0.608974,52.34,1,1,1,1,center
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,11,3,3,1,0.598283,70.29,1,1,1,1,center
competitive_reconstructed_4x5,competitive_cases:data/competitive_cases.jsonl,0,4,5,13,3,3,1,0.595443,71.57,1,1,1,1,center
