board_id,source,repeat,rows,cols,target_number,true_row,true_col,rank,score,confidence_1_to_100,top1_hit,top3_hit,top5_hit,top10_hit,zone_type
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,50,7,2,18,0.385441,1.08,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,79,4,4,15,0.367801,2.02,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,62,2,5,8,0.420929,7.29,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,4,4,3,9,0.402712,5.02,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,57,3,1,18,0.369674,1.05,0,0,0,0,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,16,9,1,7,0.423963,6.07,0,0,0,1,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,18,4,2,13,0.403047,2.58,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,38,6,1,19,0.373941,1.0,0,0,0,0,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,8,5,2,6,0.416871,7.03,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,36,2,7,20,0.372776,1.0,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,41,2,8,7,0.453658,7.23,0,0,0,1,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,29,3,8,7,0.44881,7.4,0,0,0,1,edge
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,80,2,4,3,0.419005,14.18,0,1,1,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,10,4,6,13,0.394907,2.94,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,9,8,2,10,0.404707,4.71,0,0,0,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,32,6,7,14,0.406218,1.81,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,12,9,6,20,0.339161,1.0,0,0,0,0,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,44,5,3,5,0.459504,8.67,0,0,1,1,center
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,73,10,1,17,0.371177,1.94,0,0,0,0,corner
b001,real_full_board:samples/data/full_boards_10x8.json,0,10,8,45,9,3,7,0.448979,5.67,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,7,6,1,16,0.370216,1.34,0,0,0,0,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,34,4,5,8,0.451334,8.32,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,51,1,4,6,0.443052,7.04,0,0,0,1,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,57,3,2,2,0.468987,17.12,0,1,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,31,1,5,1,0.487923,21.51,1,1,1,1,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,29,10,4,4,0.466687,14.25,0,0,1,1,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,38,7,6,17,0.378907,1.21,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,62,4,6,5,0.41995,7.0,0,0,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,43,2,7,12,0.402689,1.96,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,52,7,4,8,0.422336,4.73,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,37,5,4,16,0.381981,1.28,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,12,9,8,12,0.394006,2.98,0,0,0,0,edge
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,30,9,2,3,0.470299,13.21,0,1,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,3,5,2,6,0.41093,5.05,0,0,0,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,44,4,3,16,0.380667,1.5,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,48,4,4,20,0.341804,1.0,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,73,2,4,17,0.345452,1.0,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,21,4,2,5,0.440132,9.27,0,0,1,1,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,54,3,6,18,0.348828,1.01,0,0,0,0,center
b002,real_full_board:samples/data/full_boards_10x8.json,0,10,8,74,6,3,12,0.366112,2.93,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,8,9,7,13,0.397038,2.24,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,69,10,8,10,0.395826,3.59,0,0,0,1,corner
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,9,9,1,1,0.459287,21.71,1,1,1,1,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,77,4,3,15,0.364622,1.86,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,24,5,8,15,0.411715,1.61,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,27,1,6,3,0.491635,13.23,0,1,1,1,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,55,5,4,20,0.330513,1.0,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,35,10,3,19,0.377375,1.47,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,60,10,5,8,0.429305,4.9,0,0,0,1,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,19,2,6,5,0.454865,6.52,0,0,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,30,9,6,12,0.424833,2.52,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,38,6,4,1,0.483243,16.33,1,1,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,28,8,8,20,0.352887,1.0,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,64,6,3,14,0.383172,2.39,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,39,3,5,12,0.410011,2.87,0,0,0,0,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,15,5,7,8,0.439131,5.54,0,0,0,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,40,3,7,7,0.447566,7.4,0,0,0,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,59,8,7,1,0.485249,22.8,1,1,1,1,center
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,21,10,6,14,0.404987,1.1,0,0,0,0,edge
b003,real_full_board:samples/data/full_boards_10x8.json,0,10,8,5,9,5,7,0.416203,4.95,0,0,0,1,center
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,4,1,4,1,0.527706,28.9,1,1,1,1,corner
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,15,4,3,1,0.576049,56.6,1,1,1,1,edge
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,6,2,2,1,0.607216,53.22,1,1,1,1,center
competitive_reconstructed_4x4,competitive_cases:data/competitive_cases.jsonl,0,4,4,11,3,3,1,0.582579,56.85,1,1,1,1,center
competitive_reconstructed_4x5,competitive_cases:data/competitive_cases.jsonl,0,4,5,13,3,3,1,0.574667,61.27,1,1,1,1,center
