             C1                                                                                               C2  C3 C4     C5 C6 C7 C8        C9 C10 C11 C12
R1   146119DF73 (一)夾出    樣，贈送   刮，對中號碼即算中獎。
(二)請勿先刮、多刮，作弊者刮中一律不算。
(三)活動為額外加贈，非屬選物販賣機之消費。 
(四)活動主辦方保有最終解釋權力。  


   ·  · 萌欣國際刮卡  ·  ·  ·      100刮   ·   ·   ·
R2            ·                                                                                                ·   ·  ·      ·  ·  ·  ·         ·   ·   ·   ·
R3            ·                                                                                               16  81 97     19 89 94 40        64   2  82   ·
R4            ·                                                                                               98  85 31     29 54 68 15        46  61  20   ·
R5            ·                                                                                               33  25 38     10 90 78 72        17  66  11   ·
R6            ·                                                                                               24  62  5      6 39 58 65        59  44  70   ·
R7            ·                                                                                               49  88 84      3 76 23  8        48  63  77   ·
R8            ·                                                                                               13   4  9     83 53 22 86        26  32  67   ·
R9            ·                                                                                               99 100 96     92 57 91 28        42  79   1   ·
R10           ·                                                                                               45  75 30     34 50 74 41        36  18   7   ·
R11           ·                                                                                               43  37 12     60 87 51 21        52  71  69   ·
R12           ·                                                                                               47  14 73     56 55 93 27        35  80  95   ·
