             C1     C2  C3 C4                                                                                          C5  C6  C7  C8  C9 C10  C11 C12 C13
R1   L8Z34P3234 萌欣國際刮卡   ·  · (一)夾出    樣，贈送   刮，對中號碼即算中獎。
(二)請勿先刮、多刮，作弊者刮中一律不算。
(三)活動為額外加贈，非屬選物販賣機之消費。 
(四)活動主辦方保有最終解釋權力。   ·   ·   ·   ·   · 120刮   ·   ·
R2            ·      ·   ·  ·                                                                                           ·   ·   ·   ·   ·   ·    ·   ·   ·
R3            ·     92  83 23                                                                                           5  76  45  24  14  63  106  67  39
R4            ·      7  80 36                                                                                          60  41   8  46   2  88    1 112  35
R5            ·     74  16 13                                                                                          42  27  55  87  31 114   68  21  82
R6            ·     18 117 71                                                                                          62  20 105  34 100  49   64  40 115
R7            ·     94  32 72                                                                                           3  12 119  77  66 118   99  93  89
R8            ·     37  70 73                                                                                          43  17  38  19 107  51  109 108 103
R9            ·    120  59 33                                                                                          52 104 101  65   4  25   15  86  22
R10           ·     30  75 81                                                                                           6  98  84 116 113  11   97  69  54
R11           ·     28   9 10                                                                                          56  44 110  29 111  95   91  53  58
R12           ·     57  50 61                                                                                          26  48  78  79  90  85   47  96 102
