                       C1 C2                  C3  C4                   C5 C6                   C7 C8                  C9 C10                   C11 C12                  C13 C14
R1     0.8763037914627466  7  0.5511980467462995  71   0.3650207288036007 16  0.19442483653137088 33  0.1706780706088591  48   0.21886218742268015  92    0.836919980225106  16
R2     0.9820336467138423  1  0.3397918953116912 112  0.35410064286501197 17    0.165262570672855 35 0.49609474947528587  30    0.9671306444772059   7 0.024084037272075642  98
R3    0.39497215007400643 46  0.5770475490021406  66   0.6745389734954159 10   0.3441455693544385 32  0.8658173062406394  13    0.3891807218167189  74   0.6457928136183552  33
R4     0.9204703871818177  5 0.44750381907886294  92   0.9646078512862467  2   0.3540745913782537 31  0.9955114693039182   1    0.8464210155591275  18   0.7194770472991397  24
R5     0.7190275476411522 18  0.4817272182930308  87  0.44598113539675943 14   0.8282984137646876  7  0.7638318858368504  18   0.19047227796095256  94   0.5040087993189798  49
R6    0.27189627184043563 57  0.8830337689668614  20   0.8708579562150057  4   0.7860935105538713 10  0.9082771756279429  10    0.7146166758882524  37   0.8574621396271478  13
R7      0.693092926596414 21  0.7602216522113073  35  0.11850092877208096 19   0.5097742199226519 21  0.9053983179979014  11 0.0035572349948291837 120  0.02285426382941591  99
R8     0.8547131208541114 11  0.4409321201245605  94  0.39458452272695466 15   0.5234267243514688 20   0.918600151924372   8    0.7517506030431762  30   0.5751985432702463  45
R9    0.05362770149966689 74  0.2791631504600912 123   0.7113625230830666  8    0.484157390528826 23 0.15478886914115253  49    0.7528594179462382  28   0.5921899855902367  43
R10    0.6739018348494268 23 0.41885050440095495  99   0.9026441597635374  3    0.583665207743792 16  0.6262452283741182  23    0.5108218871146535  57    0.530576595007738  47
R11   0.49304165985780823 37 0.32970032361308144 115   0.6585562471677168 11   0.7597062493131927 11  0.4264735609739173  35    0.3152241920284893  83  0.22703400179381106  81
R12   0.15640452010163441 64 0.39133582944998224 100   0.9740348718796539  1  0.15062042499619177 37  0.5666872687407192  26   0.32401820801590375  80  0.18555797179515932  85
R13   0.35819233949669604 48  0.5059380364822708  82 0.022453105100094906 20   0.4662038820557627 25 0.28645047096577014  44    0.8677898455431777  16   0.7149798403551332  25
R14    0.4976275959785389 36  0.5152904930996565  80    0.450579652027583 13   0.9027699274617584  3  0.4392555645835481  33   0.03166680697460189 117  0.38032656853817626  62
R15    0.8083483806297393 15  0.6640091424742004  57    0.275614420671353 18   0.5491006662033892 19   0.107844061255155  53    0.7390199961773931  32  0.15826466456857935  88
R16    0.4082878459200119 44  0.9613440017353515   8   0.5954726561265609 12   0.8005780133837415  8  0.5497292745555441  27    0.4063436089540108  70   0.9669079198003022   4
R17    0.6466722785710092 27  0.7455130223435299  38   0.7285351450530084  7   0.9219193578306194  2  0.7965537042619055  15    0.4851012447337173  59 0.006496358139521874 100
R18    0.9580037419094609  3  0.7627643199057764  34   0.7888738006282232  5   0.6004571734997124 15  0.5898286369201501  25   0.35351618061819945  75   0.3185750079378663  75
R19    0.6494504782325476 26  0.9543178546411493   9   0.7035502006174977  9  0.12064478532724865 38  0.7368225155365802  19     0.943748638864745   9   0.6204588184963484  37
R20   0.13870600026708235 67 0.21125549324364512 131   0.7498287159798663  6   0.7960713403502248  9 0.46189844768242316  32    0.5995713851063547  50   0.8532923696962363  14
R21     0.961065123563378  2  0.4225734648579932  98                    ·  ·   0.5736721137078178 18 0.42382487123815693  36     0.804457235571054  23  0.03834687764618261  97
R22    0.8087334916081254 14  0.7333404010590182  41                    ·  ·   0.7494633737593314 12   0.413821211249194  37    0.7179392098363275  36   0.6625902220902115  31
R23   0.00689002467371147 79  0.5023799707031421  83                    ·  ·  0.45731648098938626 26  0.9920107259272971   3     0.894361084538393  13   0.6200942502392197  38
R24   0.48243996842851367 38 0.10817795396374597 150                    ·  ·   0.4478676351087233 27  0.9619807057721754   5    0.4046218570067175  71   0.9483662398274124   5
R25  0.022505914904340507 76 0.06080724611600108 155                    ·  ·  0.48607585490242744 22 0.11816480992302769  51   0.39230518852855367  72  0.19037974629226562  84
R26    0.3022698099786467 51  0.7192277754436739  43                    ·  ·  0.36720012500499555 30 0.32819258498343196  41     0.391238646348564  73   0.8944620142694015   9
R27    0.8617788843187542 10  0.5336108531897056  76                    ·  ·   0.8749935487282686  5 0.35994980978248947  40    0.7286126459431627  33  0.05357305082276542  96
R28     0.746256002325688 16 0.24054694344982575 126                    ·  · 0.013126066461854546 40 0.00598067871504504  60    0.3213109495258647  81   0.6736884173476763  30
R29    0.8630071988144712  9  0.7040171068368398  48                    ·  ·   0.9831581282726286  1 0.09634790233834245  56     0.909227767551932  10   0.8823477727027516  12
R30   0.19939131819797373 62  0.8082520585409405  28                    ·  ·   0.4040826211249058 28 0.38923106067343316  38    0.4810966334159327  61   0.3298865041716159  73
... truncated preview: full_shape=160x14, shown=30x14
