round,idx,score,top1_2hit_rate,same_triplet_3hit_rate,exact_hit@3,recent_draws_count,max_recent_draws_count,min_score_threshold,skip_kill_threshold,streak_kill_threshold,candidate_trim_size,warm_skip_min,warm_skip_max,streak_min,streak_max
1,0,0.0,0.0,0.0,0.0,1,1,82,14,3,43,3,5,2,5
1,1,0.225,0.07500000000000001,0.0125,0.625,1,4,56,7,4,25,1,8,1,2
1,2,0.35,0.1875,0.05,0.7875000000000001,5,5,66,15,6,23,4,5,1,3
1,3,0.2625,0.075,0.025,0.6,4,4,64,7,7,39,2,4,1,4
1,4,0.0,0.0,0.0,0.0,1,5,75,7,7,23,2,4,1,4
1,5,0.30000000000000004,0.07500000000000001,0.0125,0.7,4,5,53,10,4,31,2,7,2,4
1,6,0.32499999999999996,0.1375,0.025,0.7,4,5,76,13,5,58,2,4,2,5
1,7,0.2875,0.125,0.0375,0.7125,3,3,61,12,3,24,1,4,2,3
1,8,0.3625,0.16249999999999998,0.025,0.7125,4,5,34,7,5,50,3,6,2,5
1,9,0.275,0.0625,0.0,0.6875,5,5,48,12,5,21,1,4,2,5
1,10,0.3375,0.125,0.07500000000000001,0.7,4,4,43,10,4,35,4,7,1,2
1,11,0.2375,0.1,0.0125,0.675,2,5,55,14,5,28,4,8,2,3
1,12,0.325,0.075,0.0125,0.75,4,4,39,7,4,29,4,7,2,4
1,13,0.38749999999999996,0.1625,0.075,0.7875,5,5,46,10,3,29,2,5,1,5
1,14,0.275,0.0875,0.0,0.675,5,5,59,14,6,45,4,7,2,3
1,15,0.3125,0.1375,0.037500000000000006,0.7375,4,4,42,7,4,48,4,8,1,5
1,16,0.375,0.15,0.0,0.75,1,1,30,15,4,54,2,4,2,5
1,17,0.2875,0.11249999999999999,0.025,0.6625,2,5,39,10,5,58,1,6,1,2
1,18,0.35,0.1875,0.07500000000000001,0.75,4,5,60,13,5,25,3,7,1,2
1,19,0.0,0.0,0.0,1.0,3,4,83,8,7,21,2,4,2,5
