group_id,rank,candidate_count,rr,split,size_class,weak_signal_score,weight,top1,top3,top5,top10,baseline_rank,rank_gain_vs_baseline
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t001,1,24,1.0,train,8x10,0.3729662870922829,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t010,1,24,1.0,train,8x10,0.45341120730863593,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t011,1,24,1.0,train,8x10,0.3729662870922829,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t013,1,24,1.0,train,8x10,0.4017459049571932,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t015,2,24,0.5,train,8x10,0.4012021147059278,0.0,0,1,1,1,2,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t016,1,24,1.0,train,8x10,0.40740085119603275,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t020,1,24,1.0,train,8x10,0.44628623469676143,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t023,1,24,1.0,train,8x10,0.4017459049571932,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t024,1,24,1.0,train,8x10,0.4012021147059278,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t025,1,24,1.0,train,8x10,0.4012021147059278,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t030,1,24,1.0,train,8x10,0.44628623469676143,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t033,1,24,1.0,train,8x10,0.4017459049571932,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t034,2,24,0.5,train,8x10,0.4012021147059278,0.0,0,1,1,1,2,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t037,1,24,1.0,train,8x10,0.3793131903815242,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t039,1,24,1.0,train,8x10,0.5289180625592204,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t040,1,24,1.0,train,8x10,0.44628623469676143,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t052,1,24,1.0,train,8x10,0.40740085119603275,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t062,1,24,1.0,train,8x10,0.4044532391981841,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t063,1,24,1.0,train,8x10,0.4017459049571932,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t064,1,24,1.0,train,8x10,0.3993488132838263,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t070,1,24,1.0,train,8x10,0.44333862269891267,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t075,1,24,1.0,train,8x10,0.4012021147059278,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t076,1,24,1.0,train,8x10,0.40740085119603275,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r30::m000::t080,1,24,1.0,train,8x10,0.44628623469676143,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t001,1,40,1.0,train,8x10,0.4177093866889665,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t002,1,40,1.0,train,8x10,0.2408460396280281,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t006,1,40,1.0,train,8x10,0.2593679763687624,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t007,1,40,1.0,train,8x10,0.24006318980217017,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t009,2,40,0.5,train,8x10,0.2733825995186431,0.0,0,1,1,1,2,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t010,1,40,1.0,train,8x10,0.28548929467504813,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t012,1,40,1.0,train,8x10,0.2408460396280281,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t013,1,40,1.0,train,8x10,0.22057004822967824,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t016,1,40,1.0,train,8x10,0.2593679763687624,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t019,1,40,1.0,train,8x10,0.2803498322786435,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t024,1,40,1.0,train,8x10,0.2365516965191584,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t025,1,40,1.0,train,8x10,0.23215132903326735,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t026,1,40,1.0,train,8x10,0.2593679763687624,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t029,2,40,0.5,train,8x10,0.2803498322786435,0.0,0,1,1,1,2,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t030,1,40,1.0,train,8x10,0.28548929467504813,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t031,1,40,1.0,train,8x10,0.4177093866889665,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t033,1,40,1.0,train,8x10,0.22057004822967824,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t035,1,40,1.0,train,8x10,0.23215132903326735,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t037,1,40,1.0,train,8x10,0.2470304225621706,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t038,1,40,1.0,train,8x10,0.3990221195147038,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t040,1,40,1.0,train,8x10,0.29877680301167714,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t047,1,40,1.0,train,8x10,0.2470304225621706,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t049,1,40,1.0,train,8x10,0.2803498322786435,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t050,1,40,1.0,train,8x10,0.28548929467504813,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t051,3,40,0.3333333333333333,train,8x10,0.4177093866889665,0.0,0,1,1,1,3,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t053,1,40,1.0,train,8x10,0.2124769750375027,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t060,1,40,1.0,train,8x10,0.28548929467504813,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t061,1,40,1.0,train,8x10,0.4177093866889665,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t062,1,40,1.0,train,8x10,0.2408460396280281,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t063,2,40,0.5,train,8x10,0.22057004822967824,0.0,0,1,1,1,2,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t064,1,40,1.0,train,8x10,0.23594911787798067,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t066,4,40,0.25,train,8x10,0.2593679763687624,0.0,0,0,1,1,4,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t067,1,40,1.0,train,8x10,0.2470304225621706,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t068,1,40,1.0,train,8x10,0.3990221195147038,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t069,1,40,1.0,train,8x10,0.2803498322786435,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t071,1,40,1.0,train,8x10,0.4177093866889665,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t075,1,40,1.0,train,8x10,0.22550946926526533,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t076,1,40,1.0,train,8x10,0.2593679763687624,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t079,1,40,1.0,train,8x10,0.2930058342674765,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::001::r50::m000::t080,1,40,1.0,train,8x10,0.28548929467504813,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t002,1,24,1.0,train,8x10,0.5628562335480399,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t009,1,24,1.0,train,8x10,0.5453930524350109,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t012,1,24,1.0,train,8x10,0.5559137687067539,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t017,1,24,1.0,train,8x10,0.5496244564612028,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t018,1,24,1.0,train,8x10,0.5496244564612028,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t024,1,24,1.0,train,8x10,0.5453930524350109,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t025,1,24,1.0,train,8x10,0.5496244564612028,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t028,2,24,0.5,train,8x10,0.5496244564612028,0.0,0,1,1,1,2,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t031,1,24,1.0,train,8x10,0.6029365982605097,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t034,1,24,1.0,train,8x10,0.5453930524350109,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t039,1,24,1.0,train,8x10,0.5453930524350109,0.0,1,1,1,1,1,0
synth::刮刮卡製作 1:80刮:2:1::002::r30::m000::t040,1,24,1.0,train,8x10,0.5563980249281103,0.0,1,1,1,1,1,0
