特徵,模型,遮蔽格,樣本數,命中率,模型檔
basic,logistic,2,100,0.016666666666666666,models/model_basic_logistic_mask2_n100.joblib
basic,logistic,2,300,0.018253968253968255,models/model_basic_logistic_mask2_n300.joblib
basic,logistic,2,500,0.01904761904761905,models/model_basic_logistic_mask2_n500.joblib
basic,logistic,3,100,0.022222222222222223,models/model_basic_logistic_mask3_n100.joblib
basic,logistic,3,300,0.0164021164021164,models/model_basic_logistic_mask3_n300.joblib
basic,logistic,3,500,0.022857142857142857,models/model_basic_logistic_mask3_n500.joblib
basic,logistic,4,100,0.02142857142857143,models/model_basic_logistic_mask4_n100.joblib
basic,logistic,4,300,0.015873015873015872,models/model_basic_logistic_mask4_n300.joblib
basic,logistic,4,500,0.023333333333333334,models/model_basic_logistic_mask4_n500.joblib
basic,rf,2,100,0.36666666666666664,models/model_basic_rf_mask2_n100.joblib
basic,rf,2,300,0.38015873015873014,models/model_basic_rf_mask2_n300.joblib
basic,rf,2,500,0.38,models/model_basic_rf_mask2_n500.joblib
basic,rf,3,100,0.3476190476190476,models/model_basic_rf_mask3_n100.joblib
basic,rf,3,300,0.3968253968253968,models/model_basic_rf_mask3_n300.joblib
basic,rf,3,500,0.39936507936507937,models/model_basic_rf_mask3_n500.joblib
basic,rf,4,100,0.375,models/model_basic_rf_mask4_n100.joblib
basic,rf,4,300,0.3821428571428571,models/model_basic_rf_mask4_n300.joblib
basic,rf,4,500,0.3964285714285714,models/model_basic_rf_mask4_n500.joblib
tail,logistic,2,100,0.009523809523809525,models/model_tail_logistic_mask2_n100.joblib
tail,logistic,2,300,0.024603174603174603,models/model_tail_logistic_mask2_n300.joblib
tail,logistic,2,500,0.02857142857142857,models/model_tail_logistic_mask2_n500.joblib
tail,logistic,3,100,0.006349206349206349,models/model_tail_logistic_mask3_n100.joblib
tail,logistic,3,300,0.03756613756613757,models/model_tail_logistic_mask3_n300.joblib
tail,logistic,3,500,0.026349206349206348,models/model_tail_logistic_mask3_n500.joblib
tail,logistic,4,100,0.02738095238095238,models/model_tail_logistic_mask4_n100.joblib
tail,logistic,4,300,0.023809523809523808,models/model_tail_logistic_mask4_n300.joblib
tail,logistic,4,500,0.02,models/model_tail_logistic_mask4_n500.joblib
tail,rf,2,100,0.3380952380952381,models/model_tail_rf_mask2_n100.joblib
tail,rf,2,300,0.396031746031746,models/model_tail_rf_mask2_n300.joblib
tail,rf,2,500,0.3919047619047619,models/model_tail_rf_mask2_n500.joblib
tail,rf,3,100,0.3349206349206349,models/model_tail_rf_mask3_n100.joblib
tail,rf,3,300,0.39365079365079364,models/model_tail_rf_mask3_n300.joblib
tail,rf,3,500,0.4053968253968254,models/model_tail_rf_mask3_n500.joblib
