遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙
賓果賓果,115000001,2026/01/01,87050,3482,23050,4,5,12,14,20,21,25,29,31,36,47,48,52,56,60,62,63,67,68,79,05,－,－
賓果賓果,115000002,2026/01/01,73600,2944,25525,2,4,11,15,16,19,20,23,24,26,31,35,41,44,57,58,62,63,66,67,35,－,－
賓果賓果,115000003,2026/01/01,64100,2564,54650,5,7,8,11,15,16,20,23,24,28,33,35,36,48,53,69,72,75,76,79,33,小,－
賓果賓果,115000004,2026/01/01,64000,2560,20525,1,6,8,13,16,19,23,32,33,38,40,44,50,52,55,64,66,74,75,76,19,－,雙
賓果賓果,115000005,2026/01/01,58800,2352,28400,3,7,12,17,22,23,24,25,32,37,47,51,52,59,62,64,67,69,75,77,69,－,單
賓果賓果,115000006,2026/01/01,62250,2490,22500,8,9,11,19,21,24,29,30,35,37,41,43,44,46,52,61,63,71,77,79,46,－,單
賓果賓果,115000007,2026/01/01,67175,2687,14825,5,16,18,20,27,29,32,35,36,41,44,49,54,56,61,63,64,71,79,80,71,－,－
賓果賓果,115000008,2026/01/01,67175,2687,13700,2,8,12,26,31,32,34,39,40,42,45,48,49,51,53,55,60,65,75,79,40,－,－
賓果賓果,115000009,2026/01/01,80575,3223,21500,4,7,9,10,15,29,30,31,35,36,48,50,54,58,65,66,68,69,71,80,68,－,－
賓果賓果,115000010,2026/01/01,76875,3075,33225,11,12,15,16,18,22,23,27,30,31,35,37,50,56,57,61,65,72,74,78,15,－,－
賓果賓果,115000011,2026/01/01,84925,3397,29125,1,5,7,9,10,19,25,28,31,36,39,43,45,46,55,60,67,68,75,76,76,－,單
賓果賓果,115000012,2026/01/01,83200,3328,50425,2,4,12,15,17,20,25,35,36,41,42,43,47,49,54,57,61,67,69,77,25,－,單
賓果賓果,115000013,2026/01/01,92025,3681,59075,7,13,15,19,22,30,32,38,39,43,47,50,52,58,59,60,67,77,79,80,52,－,－
賓果賓果,115000014,2026/01/01,95250,3810,40300,1,3,4,11,17,19,20,21,27,39,44,47,48,52,55,57,58,60,71,73,44,－,單
賓果賓果,115000015,2026/01/01,106925,4277,37475,3,6,9,10,14,18,24,25,27,28,30,37,45,51,52,53,58,60,62,70,45,－,－
賓果賓果,115000016,2026/01/01,126250,5050,49050,1,5,6,10,13,19,22,25,28,34,36,50,51,52,53,60,62,64,67,71,34,－,－
賓果賓果,115000017,2026/01/01,155625,6225,92375,3,4,5,6,8,15,19,20,24,27,28,32,43,47,48,54,59,63,78,79,15,－,－
賓果賓果,115000018,2026/01/01,139475,5579,38725,3,7,14,15,16,27,31,33,34,48,53,55,58,60,63,64,68,71,72,76,68,－,－
賓果賓果,115000019,2026/01/01,176150,7046,101750,1,2,4,12,14,15,21,22,30,32,36,45,52,55,66,72,73,74,75,80,15,－,雙
賓果賓果,115000020,2026/01/01,168800,6752,34500,8,14,21,23,25,29,30,36,44,46,49,50,56,61,64,69,72,73,74,79,79,－,－
